7003,"MITSUI E&S HOLDINGS CO., LTD.",三井Ｅ＆Ｓホールディングス,500,Shipbuilding,Capital Goods/Others
7004,HITACHI ZOSEN CORP.,日立造船,250,Machinery,Capital Goods/Others
7011,"MITSUBISHI HEAVY IND., LTD.",三菱重工業,500,Machinery,Capital Goods/Others
7012,"KAWASAKI HEAVY IND., LTD.",川崎重工業,500,Shipbuilding,Capital Goods/Others
7013,IHI CORP.,ＩＨＩ,500,Machinery,Capital Goods/Others
7186,"CONCORDIA FINANCIAL GROUP, LTD.",コンコルディア・フィナンシャルグループ,50,Banking,Financials
7201,"NISSAN MOTOR CO., LTD.",日産自動車,50,Automobiles & Auto parts,Technology
7202,ISUZU MOTORS LTD.,いすゞ自動車,100,Automobiles & Auto parts,Technology
7203,TOYOTA MOTOR CORP.,トヨタ自動車,50,Automobiles & Auto parts,Technology
7205,"HINO MOTORS, LTD.",日野自動車,50,Automobiles & Auto parts,Technology
7211,MITSUBISHI MOTORS CORP.,三菱自動車工業,500,Automobiles & Auto parts,Technology
7261,MAZDA MOTOR CORP.,マツダ,250,Automobiles & Auto parts,Technology
7267,"HONDA MOTOR CO., LTD.",本田技研工業,25,Automobiles & Auto parts,Technology
7269,SUZUKI MOTOR CORP.,スズキ,50,Automobiles & Auto parts,Technology
7270,SUBARU CORP.,ＳＵＢＡＲＵ,50,Automobiles & Auto parts,Technology
7272,"YAMAHA MOTOR CO., LTD.",ヤマハ発動機,50,Automobiles & Auto parts,Technology
7731,NIKON CORP.,ニコン,50,Precision Instruments,Technology
7733,OLYMPUS CORP.,オリンパス,12.5,Precision Instruments,Technology
7735,"SCREEN HOLDINGS CO., LTD.",ＳＣＲＥＥＮホールディングス,250,Electric Machinery,Technology
7751,CANON INC.,キヤノン,100/3,Electric Machinery,Technology
7752,"RICOH CO., LTD.",リコー,50,Electric Machinery,Technology
7762,"CITIZEN WATCH CO., LTD.",シチズン時計,50,Precision Instruments,Technology
7832,BANDAI NAMCO HOLDINGS INC.,バンダイナムコホールディングス,50,Other Manufacturing,Capital Goods/Others
7911,"TOPPAN PRINTING CO., LTD.",凸版印刷,100,Other Manufacturing,Capital Goods/Others
7912,"DAI NIPPON PRINTING CO., LTD.",大日本印刷,100,Other Manufacturing,Capital Goods/Others
7951,YAMAHA CORP.,ヤマハ,50,Other Manufacturing,Capital Goods/Others
8001,ITOCHU CORP.,伊藤忠商事,50,Trading Companies,Materials
8002,MARUBENI CORP.,丸紅,50,Trading Companies,Materials
8015,TOYOTA TSUSHO CORP.,豊田通商,50,Trading Companies,Materials
8028,"FAMILYMART CO., LTD.",ファミリーマート,12.5,Retail,Consumer Goods
8031,"MITSUI & CO., LTD.",三井物産,50,Trading Companies,Materials
8035,TOKYO ELECTRON LTD.,東京エレクトロン,50,Electric Machinery,Technology
8053,SUMITOMO CORP.,住友商事,50,Trading Companies,Materials
8058,MITSUBISHI CORP.,三菱商事,50,Trading Companies,Materials
8233,"TAKASHIMAYA CO., LTD.",高島屋,100,Retail,Consumer Goods
8252,"MARUI GROUP CO., LTD.",丸井グループ,50,Retail,Consumer Goods
8253,"CREDIT SAISON CO., LTD.",クレディセゾン,50,Other Financial Services,Financials
8267,"AEON CO., LTD.",イオン,50,Retail,Consumer Goods
8303,"SHINSEI BANK, LTD.",新生銀行,500,Banking,Financials
8304,"AOZORA BANK, LTD.",あおぞら銀行,500,Banking,Financials
8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",三菱ＵＦＪフィナンシャル・グループ,50,Banking,Financials
8308,"RESONA HOLDINGS, INC.",りそなホールディングス,500,Banking,Financials
8309,"SUMITOMO MITSUI TRUST HOLDINGS, INC.",三井住友トラスト・ホールディングス,500,Banking,Financials
8316,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",三井住友フィナンシャルグループ,500,Banking,Financials
8331,"THE CHIBA BANK, LTD.",千葉銀行,50,Banking,Financials
8354,"FUKUOKA FINANCIAL GROUP, INC.",ふくおかフィナンシャルグループ,250,Banking,Financials
8355,"THE SHIZUOKA BANK, LTD.",静岡銀行,50,Banking,Financials
8411,"MIZUHO FINANCIAL GROUP, INC.",みずほフィナンシャルグループ,50,Banking,Financials
8601,DAIWA SECURITIES GROUP INC.,大和証券グループ本社,50,Securities,Financials
8604,"NOMURA HOLDINGS, INC.",野村ホールディングス,50,Securities,Financials
8628,"MATSUI SECURITIES CO., LTD.",松井証券,50,Securities,Financials
8630,"SOMPO HOLDINGS, INC.",ＳＯＭＰＯホールディングス,200,Insurance,Financials
8725,"MS&AD INSURANCE GROUP HOLDINGS, INC.",ＭＳ＆ＡＤインシュアランスグループホールディングス,500/3,Insurance,Financials
8729,SONY FINANCIAL HOLDINGS INC.,ソニーフィナンシャルホールディングス,250,Insurance,Financials
8750,"DAI-ICHI LIFE HOLDINGS, INC.",第一生命ホールディングス,500,Insurance,Financials
8766,"TOKIO MARINE HOLDINGS, INC.",東京海上ホールディングス,100,Insurance,Financials
8795,"T&D HOLDINGS, INC.",Ｔ＆Ｄホールディングス,250,Insurance,Financials
